X01_Nov_2020,MedApt1,AvgApt1,VolApt1,MedApt2,AvgApt2,VolApt2,MedApt3,AvgApt3,VolApt3,MedHse2,AvgHse2,VolHse2,MedHse3,AvgHse3,VolHse3,VolApt,VolHse
20151015,1150,1181,207,1500,1645,461,2000,2213,82,1450,1546,102,1700,1958,195,773,530
20151023,1150,1207,166,1500,1659,478,2000,2245,78,1450,1569,105,1650,1955,214,749,562
20151028,1150,1214,182,1500,1666,469,2000,2251,76,1500,1547,109,1650,1961,206,756,544
20151104,1100,1191,189,1500,1668,506,1850,2114,84,1450,1525,124,1700,1958,224,808,600
20151116,1200,1240,210,1500,1661,511,1850,2084,88,1500,1576,111,1700,1933,216,848,574
20151125,1200,1251,210,1500,1656,519,1900,2101,83,1500,1574,109,1650,1844,240,843,601
20151201,1175,1222,204,1500,1661,542,1900,2156,77,1500,1608,109,1650,1842,224,852,575
20151210,1150,1211,210,1500,1674,504,1950,2140,76,1500,1607,97,1650,1828,197,836,524
20151216,1150,1210,210,1500,1667,503,2000,2086,72,1500,1591,94,1600,1805,196,823,506
20151221,1195,1210,202,1500,1690,458,2000,2099,70,1475,1596,87,1600,1835,182,768,472
20160101,1200,1207,128,1550,1705,368,2100,2184,52,1450,1637,58,1650,1816,133,569,329
20160122,1150,1191,188,1500,1669,501,2000,2134,75,1450,1682,87,1700,1916,187,806,476
20160201,1150,1201,192,1500,1668,457,2000,2149,66,1500,1655,86,1700,1928,168,754,443
20160301,1200,1241,187,1600,1702,451,2100,2178,81,1500,1609,73,1795,2013,145,749,384
20160310,1200,1260,169,1600,1710,457,2100,2210,77,1500,1646,84,1800,2018,157,734,398
20160318,1200,1213,173,1550,1676,419,2200,2342,78,1500,1576,69,1800,2099,142,712,354
20160324,1190,1210,173,1550,1696,419,2200,2356,78,1500,1640,72,1700,1997,155,707,373
20160401,1175,1189,182,1550,1705,414,2150,2319,75,1550,1648,74,1650,1969,174,708,400
20160408,1200,1227,203,1600,1711,406,2100,2269,70,1500,1634,82,1700,2040,164,711,417
20160414,1200,1237,212,1600,1733,413,2100,2245,64,1550,1680,86,1700,2020,170,720,420
20160421,1200,1249,202,1600,1715,419,2100,2244,61,1600,1703,71,1700,1951,144,713,372
20160502,1200,1303,160,1600,1769,350,2000,2172,68,1600,1681,60,1750,1982,125,608,329
20160508,1250,1267,167,1600,1731,369,2100,2217,64,1600,1675,61,1750,1932,136,646,370
20160525,1200,1276,214,1550,1683,432,2100,2239,79,1600,1626,95,1800,1986,155,782,434
20160622,1290,1314,204,1600,1728,480,2200,2236,99,1600,1706,88,1800,1993,173,832,472
20160629,1295,1327,195,1600,1700,498,2100,2189,98,1550,1717,77,1800,2008,183,844,459
20160801,1300,1327,174,1650,1779,427,2300,2357,73,1550,1683,83,1800,1941,165,712,445
20160909,1300,1384,165,1700,1866,383,2400,2563,63,1600,1694,68,1950,2076,146,641,440
20161001,1325,1395,182,1750,1861,380,2500,2610,53,1700,1761,68,1995,2189,152,649,426
20161014,1400,1570,163,1700,1855,403,2400,2543,64,1650,1806,71,1900,2120,168,660,472
